Time,Engine Speed,Intake air temperature,Relative Load,Relative Load Setpoint,Lambda Bank 1,Lambda Bank 2,Additive adaptive correction of the relative fuel mass Bank1,Additive adaptive correction of the relative fuel mass Bank2,Manifold Pressure,Cylinder 1 ignition retard,Cylinder 2 ignition retard,Cylinder 3 ignition retard,Cylinder 4 ignition retard,Cylinder 5 ignition retard,Cylinder 6 ignition retard,Actual Ignition Angle,Target position throttle valve,Pedal Position
0.201,3476,33.00,59.77,64.8984,0.99243,0.99780,0.0000,0.0000,762.9688,0.000,0.000,0.000,0.000,0.000,0.000,19.500,20.1875,19.4453
0.270,3515,33.00,67.34,77.7891,0.96924,0.97339,0.0000,0.0000,827.4219,0.000,0.000,0.000,0.000,0.000,0.000,19.500,24.7031,23.3984
0.340,3560,33.00,79.90,86.6250,0.97461,0.98218,0.0000,0.0000,929.7656,0.000,0.000,0.000,0.000,0.000,0.000,18.000,29.1875,28.6094
0.410,3570,33.00,88.52,90.7734,0.97778,0.98462,0.0000,0.0000,1001.4063,0.000,0.000,0.000,0.000,0.000,0.000,17.200,30.4844,30.4922
0.481,3600,33.00,93.84,95.2969,0.96240,0.97046,0.0000,0.0000,1046.3281,0.000,0.000,0.000,0.000,0.000,0.000,17.200,31.3828,31.4844
0.550,3643,33.00,98.65,98.9766,0.96875,0.97607,0.0000,0.0000,1085.5469,0.000,0.000,0.000,0.000,0.000,0.000,17.200,30.7266,30.9688
0.621,3661,33.00,102.16,104.0625,0.98047,0.98145,0.0000,0.0000,1119.5313,0.000,0.000,0.000,0.000,0.000,0.000,17.200,30.8281,30.2969
0.690,3724,33.00,108.45,108.0000,0.97852,0.97778,0.0000,0.0000,1167.6563,0.000,0.000,0.000,0.000,0.000,0.000,15.700,30.5625,30.9844
0.761,3742,33.00,111.91,108.2578,0.97778,0.97876,0.0000,0.0000,1204.3750,0.000,0.000,0.000,0.000,0.000,0.000,16.500,28.8281,29.9063
0.830,3789,33.00,113.34,107.8359,0.97705,0.97559,0.0000,0.0000,1226.7969,0.000,0.000,0.000,0.000,0.000,0.000,16.500,26.9219,27.3672
0.901,3830,33.00,111.82,107.4844,0.98047,0.98462,0.0000,0.0000,1222.6563,0.000,0.000,0.000,0.000,0.000,0.000,16.500,25.5703,25.7266
0.971,3868,33.00,109.10,106.3125,1.00317,1.00391,0.0000,0.0000,1202.2656,0.000,0.000,0.000,0.000,0.000,0.000,17.200,24.6953,24.8828
1.040,3901,33.00,107.02,106.6406,1.00928,1.00757,0.0000,0.0000,1187.5781,0.000,0.000,0.000,0.000,0.000,0.000,17.200,24.6094,24.6172
1.111,3942,33.00,105.84,109.8750,1.00928,1.01172,0.0000,0.0000,1179.4531,0.000,0.000,0.000,0.000,0.000,0.000,18.000,25.4688,24.6875
1.181,3983,33.00,108.45,117.4688,1.01001,1.01270,0.0000,0.0000,1200.7813,0.000,0.000,0.000,0.000,0.000,0.000,16.500,28.0469,26.7188
1.250,4037,33.00,121.45,150.0234,1.02319,1.02515,0.0000,0.0000,1306.0938,0.000,0.000,0.000,0.000,0.000,0.000,16.300,45.7969,34.6641
1.322,4105,33.00,145.48,172.0781,1.01294,0.99902,0.0000,0.0000,1506.3281,0.000,0.000,0.000,0.000,0.000,0.000,11.800,99.9922,92.4063
1.391,4073,33.00,154.15,188.4844,1.01050,0.98730,0.0000,0.0000,1584.4531,0.000,0.000,0.000,0.000,0.000,0.000,9.300,99.9922,100.0000
1.461,3938,33.00,168.98,197.4609,1.00439,1.01270,0.0000,0.0000,1717.7344,0.000,0.000,0.000,0.000,0.000,0.000,-8.400,99.9922,99.9531
1.531,3101,33.00,172.92,185.4375,1.21387,1.56738,0.0000,0.0000,1920.0781,0.000,0.000,0.000,0.000,0.000,0.000,5.900,99.9922,99.9375
1.600,3064,33.00,184.41,176.8594,1.01440,1.04639,0.0000,0.0000,2040.7031,0.000,0.000,0.000,0.000,0.000,0.000,4.400,85.2422,92.8281
1.671,3489,33.00,188.58,181.9688,0.92822,0.92334,0.0000,0.0000,2011.9531,0.000,0.000,0.000,0.000,0.000,0.000,3.500,96.1719,84.5469
1.741,3924,33.00,190.05,191.7422,0.91797,0.91846,0.0000,0.0000,1952.5000,0.000,0.000,0.000,0.000,0.000,0.000,2.200,99.7422,99.0938
1.811,4087,33.00,191.27,198.7500,0.91846,0.91699,0.0000,0.0000,1979.7656,0.000,0.000,0.000,0.000,0.000,0.000,3.600,99.9922,100.0000
1.881,4009,33.00,197.41,204.8438,0.99878,0.96313,0.0000,0.0000,2033.7500,0.000,0.000,0.000,0.000,0.000,0.000,3.300,99.9922,99.9844
1.951,4075,33.00,201.56,204.8438,1.04248,1.01465,0.0000,0.0000,2086.7188,0.000,0.000,0.000,0.000,0.000,0.000,3.400,99.9922,99.9531
2.021,4257,33.00,203.02,207.2109,1.01050,1.01831,0.0000,0.0000,2134.5313,0.000,0.000,0.000,0.000,0.000,0.000,3.400,99.9922,99.9688
2.091,4509,33.00,196.05,212.4844,0.99048,1.00293,0.0000,0.0000,2167.9688,0.000,0.000,0.000,0.000,0.000,0.000,3.700,99.9922,99.9688
2.161,4612,33.00,192.96,206.4375,1.00366,1.00464,0.0000,0.0000,2204.2188,0.000,0.000,0.000,0.000,0.000,0.000,5.000,99.9922,99.9531
2.231,4666,33.00,196.92,204.5156,1.02148,1.01782,0.0000,0.0000,2267.7344,0.000,0.000,0.000,0.000,0.000,0.000,5.200,99.3828,99.3047
2.301,4755,33.00,199.88,203.9531,1.01929,1.01904,0.0000,0.0000,2339.2969,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.9531,100.0000
2.371,4759,33.75,203.02,203.8359,1.00830,1.01416,0.0000,0.0000,2376.7188,0.000,0.000,0.000,0.000,0.000,0.000,4.500,99.1250,98.9297
2.441,4846,33.75,203.25,202.2891,1.00366,1.00562,0.0000,0.0000,2402.5781,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.4297,99.5781
2.511,4898,33.75,205.85,202.1484,0.99170,0.99707,0.0000,0.0000,2434.2969,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.5781,99.1563
2.580,4991,33.75,205.71,201.2109,0.99805,0.99512,0.0000,0.0000,2444.8438,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.5781,99.6328
2.651,5027,33.75,205.38,201.3047,0.99487,0.99048,0.0000,0.0000,2446.3281,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.5781,99.5625
2.720,5124,33.75,203.60,198.3281,0.98999,0.98779,0.0000,0.0000,2438.9844,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.0313,98.6719
2.791,5164,33.75,202.78,198.5859,0.98486,0.98364,0.0000,0.0000,2437.1094,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.3281,99.3359
2.861,5238,33.75,201.12,198.9141,0.98193,0.98462,0.0000,0.0000,2435.8594,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.9844,100.0000
2.931,5299,33.75,200.46,199.3359,0.98315,0.98340,0.0000,0.0000,2438.2813,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.9922,100.0000
3.001,5325,33.75,199.76,202.6406,0.99609,0.99512,0.0000,0.0000,2444.2188,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.5625,99.4531
3.071,5443,33.75,199.73,202.9453,0.99756,0.99707,0.0000,0.0000,2454.8438,0.000,0.000,0.000,0.000,0.000,0.000,6.700,99.9375,100.0000
3.141,5435,33.75,201.47,202.6172,0.99414,0.99634,0.0000,0.0000,2481.8750,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.7266,100.0000
3.211,5557,33.75,203.18,200.7891,0.99731,1.00024,0.0000,0.0000,2512.5000,0.000,0.000,0.000,0.000,0.000,0.000,6.700,99.7266,99.5938
3.271,5591,33.75,204.09,199.8281,0.99487,0.99219,0.0000,0.0000,2527.6563,0.000,0.000,0.000,0.000,0.000,0.000,6.700,99.3438,99.3203
3.341,5661,34.50,204.52,198.8672,0.99927,0.98828,0.0000,0.0000,2533.2031,0.000,0.000,0.000,0.000,0.000,0.000,6.700,99.4375,99.4688
3.411,5714,34.50,204.02,198.0938,0.99292,0.99292,0.0000,0.0000,2528.7500,0.000,0.000,0.000,0.000,0.000,0.000,6.000,99.4375,99.4688
3.470,5814,34.50,203.67,193.6172,0.98755,0.98926,0.0000,0.0000,2519.4531,0.000,0.000,0.000,0.000,0.000,0.000,6.700,84.8438,87.6328
3.541,5855,34.50,202.36,193.2891,0.98242,0.97778,0.0000,0.0000,2499.7656,0.000,0.000,0.000,0.000,0.000,0.000,6.700,91.1094,90.7266
3.601,5877,34.50,200.06,194.0625,0.97803,0.97827,0.0000,0.0000,2471.5625,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.8281,99.4844
3.661,6000,34.50,197.60,192.6328,0.98193,0.97876,0.0000,0.0000,2442.8125,0.000,0.000,0.000,0.000,0.000,0.000,8.200,99.3203,99.4219
3.721,5988,34.50,195.73,193.2891,0.98364,0.98340,0.0000,0.0000,2418.5938,0.000,0.000,0.000,0.000,0.000,0.000,7.500,99.3203,99.2188
3.780,6090,34.50,194.55,190.5000,0.98315,0.98438,0.0000,0.0000,2408.0469,0.000,0.000,0.000,0.000,0.000,0.000,8.200,97.7109,98.8984
3.841,6118,35.25,193.80,189.7031,0.99048,0.99023,0.0000,0.0000,2400.0000,0.000,0.000,0.000,0.000,0.000,0.000,8.200,98.6484,98.6719
3.901,6159,35.25,192.59,187.4531,0.98682,0.98853,0.0000,0.0000,2390.8594,0.000,0.000,0.000,0.000,0.000,0.000,9.000,98.4219,98.5859
3.961,6221,35.25,191.16,187.0781,0.98315,0.98438,0.0000,0.0000,2375.7031,0.000,0.000,0.000,0.000,0.000,0.000,8.200,99.2031,98.9766
4.021,6271,35.25,189.91,184.6641,0.97974,0.99048,0.0000,0.0000,2361.4063,0.000,0.000,0.000,0.000,0.000,0.000,9.000,96.2891,99.5625
