Time,Engine Speed,Intake air temperature,Relative Load,Relative Load Setpoint,Lambda Bank 1,Lambda Bank 2,Additive adaptive correction of the relative fuel mass Bank1,Additive adaptive correction of the relative fuel mass Bank2,Manifold Pressure,Cylinder 1 ignition retard,Cylinder 2 ignition retard,Cylinder 3 ignition retard,Cylinder 4 ignition retard,Cylinder 5 ignition retard,Cylinder 6 ignition retard,Actual Ignition Angle,Target position throttle valve,Pedal Position
0.186,2238,35.25,13.43,12.9141,1.19482,1.35474,0.0000,0.0000,278.9063,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,3.4453,3.4453
0.251,2225,35.25,13.31,12.9375,1.56616,1.90332,0.0000,0.0000,276.7188,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,3.4375,3.4297
0.311,2230,35.25,13.10,12.9375,1.65161,2.08228,0.0000,0.0000,273.3594,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,3.4375,3.4141
0.370,2230,35.25,12.89,12.9375,1.68213,1.90503,0.0000,0.0000,270.1563,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,3.4531,3.4141
0.431,2224,35.25,12.80,12.9375,1.69116,1.82104,0.0000,0.0000,268.4375,0.000,0.000,0.000,0.000,0.000,0.000,-3.000,3.4766,3.4141
0.491,2221,35.25,12.63,12.9375,1.62012,1.78076,0.0000,0.0000,265.9375,0.000,0.000,0.000,0.000,0.000,0.000,-2.300,3.4766,3.4453
0.551,2223,35.25,12.54,12.9375,1.52759,1.61694,0.0000,0.0000,264.5313,0.000,0.000,0.000,0.000,0.000,0.000,-2.300,3.4844,3.4609
0.611,2219,35.25,12.52,12.9609,1.48779,1.58984,0.0000,0.0000,263.6719,0.000,0.000,0.000,0.000,0.000,0.000,-0.800,3.4844,3.4766
0.671,2219,35.25,11.04,13.3125,1.50977,1.51636,0.0000,0.0000,265.8594,0.000,0.000,0.000,0.000,0.000,0.000,1.500,4.5547,3.7734
0.731,2215,35.25,10.57,14.4141,1.54663,1.55249,0.0000,0.0000,286.3281,0.000,0.000,0.000,0.000,0.000,0.000,3.000,6.1797,5.4766
0.791,2210,35.25,13.45,15.9609,1.57031,1.53003,0.0000,0.0000,329.5313,0.000,0.000,0.000,0.000,0.000,0.000,4.500,5.5313,6.1953
0.854,2214,35.25,15.45,15.9609,1.57520,1.61938,0.0000,0.0000,357.5000,0.000,0.000,0.000,0.000,0.000,0.000,4.500,4.5703,4.7969
0.921,2210,35.25,15.35,15.9609,1.76611,1.87280,0.0000,0.0000,356.1719,0.000,0.000,0.000,0.000,0.000,0.000,5.200,4.5703,4.6641
0.981,2208,35.25,15.14,15.9609,2.25659,2.64941,0.0000,0.0000,354.2188,0.000,0.000,0.000,0.000,0.000,0.000,5.200,4.6328,4.6016
1.041,2205,35.25,14.81,15.9609,2.81885,3.40747,0.0000,0.0000,353.6719,0.000,0.000,0.000,0.000,0.000,0.000,5.200,4.6328,4.5859
1.101,2201,35.25,14.60,15.9609,3.54614,4.18384,0.0000,0.0000,354.6875,0.000,0.000,0.000,0.000,0.000,0.000,5.200,4.7344,4.5859
1.161,2201,35.25,15.54,13.0078,4.27539,5.58789,0.0000,0.0000,356.9531,0.000,0.000,0.000,0.000,0.000,0.000,-0.800,1.1328,1.3594
