Time,Engine Speed,Intake air temperature,Relative Load,Relative Load Setpoint,Lambda Bank 1,Lambda Bank 2,Additive adaptive correction of the relative fuel mass Bank1,Additive adaptive correction of the relative fuel mass Bank2,Manifold Pressure,Cylinder 1 ignition retard,Cylinder 2 ignition retard,Cylinder 3 ignition retard,Cylinder 4 ignition retard,Cylinder 5 ignition retard,Cylinder 6 ignition retard,Actual Ignition Angle,Target position throttle valve,Pedal Position
0.200,4325,39.00,61.01,62.9297,0.88086,0.85083,0.0000,0.0000,782.0313,0.000,0.000,0.000,0.000,0.000,0.000,23.200,20.0391,20.0781
0.270,4341,39.00,62.46,62.8828,0.84985,0.83667,0.0000,0.0000,798.2031,0.000,0.000,0.000,0.000,0.000,0.000,24.000,20.0625,20.1406
0.340,4354,39.00,63.35,62.7656,0.81934,0.82568,0.0000,0.0000,807.8906,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.9453,20.0000
0.406,4377,39.00,63.45,62.6719,0.82202,0.82104,0.0000,0.0000,811.4844,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.7891,19.7500
0.470,4394,39.00,63.21,62.5078,0.81299,0.82104,0.0000,0.0000,809.2969,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.6563,19.6719
0.540,4404,39.00,63.05,62.4609,0.81323,0.82080,0.0000,0.0000,809.4531,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.5547,19.5234
0.605,4418,39.00,62.77,62.2969,0.82373,0.82397,0.0000,0.0000,808.9063,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.4688,19.4453
0.670,4435,39.00,62.81,62.1797,0.82275,0.82324,0.0000,0.0000,810.7031,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.3359,19.4141
0.740,4454,39.00,62.63,62.1094,0.82446,0.82544,0.0000,0.0000,809.8438,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.3203,19.2813
0.805,4461,39.00,62.44,61.9219,0.82324,0.82568,0.0000,0.0000,810.7813,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.2578,19.2500
0.870,4483,39.00,62.16,61.8750,0.82739,0.83325,0.0000,0.0000,809.4531,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.1953,19.2188
0.940,4501,39.00,62.04,61.7109,0.82837,0.83569,0.0000,0.0000,810.0000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,19.1797,19.1641
1.005,4508,39.00,61.85,61.8984,0.83667,0.83667,0.0000,0.0000,810.1563,0.000,0.000,0.000,0.000,0.000,0.000,24.700,19.1406,19.1484
1.073,4529,39.00,64.85,80.7891,0.84204,0.83691,0.0000,0.0000,842.1094,0.000,0.000,0.000,0.000,0.000,0.000,24.700,23.6250,21.9531
1.140,4585,39.00,82.83,102.2813,0.85352,0.84399,0.0000,0.0000,1018.2031,0.000,0.000,0.000,0.000,0.000,0.000,22.500,31.2656,30.5938
1.205,4620,39.00,105.75,114.4922,0.87988,0.82764,0.0000,0.0000,1234.9219,0.000,0.000,0.000,0.000,0.000,0.000,19.500,46.4531,44.9141
1.270,4645,39.00,119.58,116.4141,0.80029,0.80151,0.0000,0.0000,1367.2656,0.000,0.000,0.000,0.000,0.000,0.000,18.700,46.7422,46.7188
1.340,4684,39.00,125.20,118.0078,0.80908,0.82275,0.0000,0.0000,1442.9688,0.000,0.000,0.000,0.000,0.000,0.000,17.200,34.7188,38.1563
1.405,4706,39.00,130.45,128.5313,0.85718,0.86499,0.0000,0.0000,1506.9531,0.000,0.000,0.000,0.000,0.000,0.000,15.700,32.3750,32.2969
